Participant Number,Group,Route
1,VR,"1,2,3,5,6,4,6,9,16,11,16,12,13,15,14,18,3,4,7,16,11,12"
2,VR,"1,2,3,2,5,4,6,7,9,8,9,8,16,10,11,7,12,14,13,15,18,17"
3,VR,"1,3,4,6,5,2,7,9,10,11,13,14,16,15,17,18"
4,VR,"1,2,3,5,4,6,3,2,3,4,7,9,16,10,12,14,13,15,17,18,12,11,16,8,7"
5,VR,"2,1,3,4,5,6,7,9,8,15,14,16,10,11,12,13,11,13,17,18,6,17"
6,VR,"1,2,3,5,4,6,7,9,10,11,12,13,14,15,17,18,1,2,3,5,4,6,7,8,16,15,12"
7,VR,"1,4,6,5,3,1,3,7,8,15,17,14,13,12,16,10,11,13,17,18,16,8,9,7,4,6"
8,VR,"1,2,3,4,5,6,7,9,8,16,15,16,10,11,12,14,13,11,17,18,6"
9,VR,"1,2,3,5,6,3,7,8,15,14,13,12,16,9,10,11,17,18,5,4,7,10,14,12,13,15"
10,VR,"1,3,4,2,3,6,7,8,15,16,14,13,12,10,11,13"
11,VR,"1,3,4,5,2,5,2,7,9,16,12,13,14,15,16,12,15,10,11,17,1,3"
12,VR,"2,1,3,4,6,5,3,4,7,9,8,15,14,13,12,16,10,11,16,13,18"
13,VR,"1,3,4,2,5,6,7,9,10,11,13,12,16,8,15,16,17,18,5,6,7,9,10"
14,VR,"1,2,3,6,3,2,3,6,7,9,10,11,13,14,15,9,10,18,6"
15,VR,"1,3,2,5,4,6,7,9,10,11,12,8,13,14,18"
16,VR,"1,2,3,6,5,4,7,9,10,11,12,14,13,15,17,18,6,7,16,13,12,15,9,17"
17,VR,"1,2,3,4,5,6,4,7,8,9,10,11,13,12,14,15,16,10,11,16,13,18"
18,VR,"1,2,3,4,5,6,7,8,9,16,11,12,13,14,15,17,18,5,6,7,15,17,18"
19,VR,"1,2,3,4,5,6,5,4,7,8,9,15,10,11,12,13,14,15,17,18,5,7,9,10,11"
20,VR,"1,2,3,4,5,6,5,7,9,8,15,14,13,12,9,10,11,16,17,18,5,4,7,10,11,12,13,15"
21,R,"1,2,3,4,5,6,9,11,12,13,14,17,15,18,9,10,8"
22,R,"1,2,3,4,6,5,2,7,9,10,11,12,13,14,15,8,16,17,18,2"
23,R,"2,5,6,18,17,14,13,12,16,15,8,9,10,11,4,3,1"
24,R,"1,2,3,4,5,6,7,8,9,10,11,7,12,13,14,15,17,18,2,1,3"
25,R,"1,2,3,5,6,9,8,15,14,13,12,16,11,10,9,17,18,6,16"
26,R,"1,2,5,6,3,7,9,10,11,10,12,13,14,15,16,8,10,17,18,3,6"
27,R,"1,3,4,6,5,2,7,9,10,11,12,13,14,16,15,8,17,18,17,5,9,16,14,15,18"
28,R,"1,2,3,5,4,6,7,8,9,10,11,16,12,13,14,15,17,18,2,5,9,14,15,17"
29,R,"1,3,4,2,5,6,7,8,9,10,11,16,12,13,14,16,17,18"
30,R,"1,2,3,5,4,6,7,8,9,10,11,16,15,13,14,17,18,2,3,6,7,9,10,11,16,12,13,14,17,15"
31,R,"1,2,3,4,5,6,3,7,9,8,10,11,16,12,13,14,15,17,18,5,9,8,10,11,16,12,13,14,15,17,18,5,8,9,10,11,6,2,4,7,8,9,10,16"
32,R,"1,2,5,3,4,7,9,8,10,11,16,12,13,14,15,17,7,4,3,6,5,2,1,4,7,10,12,13,14"
33,R,"1,2,3,4,5,6,9,10,12,13,14,17,15,18,6,5,4"
34,R,"1,2,3,4,5,6,7,8,9,10,11,7,12,13,14,15,17,18"
35,R,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,3,6,7,9,10"
36,R,"1,2,3,5,6,7,8,9,15,10,11,12,13,14,16,11,10,9,17,18,6,16"
37,R,"1,2,3,4,5,6,7,8,9,10,11,16,12,13,14,16,15,17,18,5,6"
